product_name,price,stock_quantity,location,manufacturer,expiration_date,vending_machine_id,category
Soup - Campbells Asian Noodle,8.12,815,51634 Heath Place,Youopia,1/22/2022,31,Snacks
Soup - Campbells Bean Medley,3.84,300,06 Norway Maple Junction,Gabtype,4/29/2023,32,Candy
Squash - Sunburst,2.47,388,6 Hauk Parkway,Tazzy,11/28/2023,33,Beverages
French Pastries,6.15,885,16173 Old Shore Court,Kazio,9/5/2022,34,Snacks
Mangostein,6.71,421,22159 Londonderry Court,Wikibox,7/4/2022,35,Beverages
Coriander - Seed,8.25,686,94 Canary Junction,Gabspot,1/28/2023,36,Snacks
Ice Cream - Strawberry,1.82,54,8613 Buena Vista Street,Flashdog,2/17/2022,37,Candy
Beef - Tenderloin Tails,3.99,971,73 Elmside Park,Zava,4/24/2023,38,Beverages
Fish - Bones,9.63,957,5 1st Court,Fivechat,7/26/2022,39,Snacks
Beef Cheek Fresh,5.37,667,11 Duke Way,Yadel,10/28/2023,40,Candy
Sage - Fresh,6.3,393,5 Blaine Plaza,Skyba,6/15/2022,41,Candy
"Wine - White, Pelee Island",2.48,793,0 South Lane,Quinu,4/17/2023,42,Candy
"Wine - Red, Black Opal Shiraz",4.8,471,10 Melody Trail,Voonyx,7/18/2022,43,Candy
Olives - Stuffed,8.53,28,7 Elgar Alley,Skilith,4/6/2022,44,Beverages
"Cheese - Cheddar, Old White",9.91,125,19361 Reindahl Place,Agimba,4/20/2022,45,Candy
Tea - Decaf 1 Cup,2.54,87,748 East Parkway,Yozio,11/7/2022,46,Candy
Mustard - Individual Pkg,9.4,78,155 3rd Lane,Edgeblab,9/21/2022,47,Snacks
Sprouts - Alfalfa,3.61,927,33 Forest Dale Park,Lazz,6/21/2022,48,Candy
Mustard - Seed,6.74,229,5 Memorial Terrace,Kwimbee,9/8/2022,49,Candy
Wine - Chateau Timberlay,7.36,950,52013 Portage Center,Skaboo,6/26/2023,50,Beverages
Muffin Mix - Blueberry,9.19,788,51342 Valley Edge Trail,Voomm,11/3/2022,51,Candy
Wine - Tio Pepe Sherry Fino,6.28,540,5 Myrtle Junction,Trudoo,7/3/2023,52,Snacks
Daikon Radish,3.69,558,22 Meadow Vale Alley,Shufflebeat,4/26/2023,53,Snacks
Pork - Sausage Casing,8.28,399,9767 Golden Leaf Place,Twitternation,2/18/2022,54,Snacks
Limes,9.39,189,2 Fallview Lane,Cogidoo,3/14/2023,55,Candy
Rolled Oats,7.9,916,02 Loeprich Street,Browsecat,2/21/2022,56,Snacks
Amaretto,7.68,715,772 Petterle Terrace,Agimba,11/29/2022,57,Candy
"Yeast - Fresh, Fleischman",4.07,461,17050 High Crossing Drive,Zazio,1/8/2022,58,Beverages
Parasol Pick Stir Stick,2.32,553,51183 Dahle Way,Ainyx,4/30/2023,59,Snacks
Curry Powder,8.83,891,05 Warner Pass,Vimbo,10/25/2023,60,Snacks
Dc - Frozen Momji,7.77,56,8 Kinsman Road,Digitube,3/10/2023,61,Snacks
Salad Dressing,9.14,630,035 Nancy Pass,Vimbo,8/12/2023,62,Snacks
Frangelico,7.8,137,0 Gulseth Place,Bluezoom,11/12/2023,63,Snacks
Tia Maria,8.84,418,6273 Dorton Pass,Livetube,2/17/2022,64,Snacks
Cut Wakame - Hanawakaba,4.91,686,3 Dennis Avenue,Eamia,5/24/2022,65,Beverages
"Wine - Saint - Bris 2002, Sauv",2.98,21,7379 Lighthouse Bay Court,Pixope,5/21/2023,66,Snacks
Cloves - Ground,7.86,589,72 Barnett Drive,Skippad,7/17/2023,67,Snacks
"Salmon - Whole, 4 - 6 Pounds",4.43,840,2152 Thompson Road,Kazu,6/15/2023,68,Candy
Wine - Barbera Alba Doc 2001,9.6,371,94 Morningstar Drive,Babbleset,9/12/2023,69,Snacks
"Soup - Knorr, Ministrone",2.81,430,0888 Crowley Terrace,Tagfeed,1/22/2023,70,Beverages
Cactus Pads,7.97,619,7977 Montana Center,Brainsphere,6/20/2022,71,Beverages
Strawberries - California,3.6,529,95037 Maryland Court,Kwideo,10/10/2023,72,Candy
Liqueur - Melon,7.85,690,0 Brentwood Way,Bluezoom,6/1/2022,73,Beverages
Cut Wakame - Hanawakaba,9.15,698,7 Merchant Lane,Tavu,2/24/2023,74,Beverages
Soup - Boston Clam Chowder,5.62,717,598 Manley Place,Dynabox,5/11/2023,75,Snacks
"Juice - V8, Tomato",6.38,934,444 Ramsey Court,Kwinu,1/25/2023,76,Snacks
"Lemonade - Kiwi, 591 Ml",4.53,923,632 Becker Court,Linklinks,6/25/2022,77,Snacks
Pastry - Carrot Muffin - Mini,6.68,638,7 Myrtle Drive,Innotype,5/15/2022,78,Beverages
Soup V8 Roasted Red Pepper,1.34,640,2 Arapahoe Avenue,Buzzdog,2/25/2023,79,Candy
Fondant - Icing,9.16,533,99286 West Park,Quamba,1/15/2023,80,Snacks
Kellogs Special K Cereal,6.71,412,584 Manitowish Road,Cogibox,7/6/2023,81,Snacks
Cheese Cheddar Processed,2.68,601,94619 Clove Court,Topiczoom,10/27/2022,82,Candy
Ice Cream Bar - Drumstick,5.88,504,0 Bartillon Alley,Flipbug,6/7/2022,83,Snacks
Pea - Snow,6.12,517,085 Monument Place,Realpoint,7/24/2023,84,Snacks
Lettuce - Curly Endive,2.25,456,121 Beilfuss Avenue,Bluejam,12/18/2022,85,Snacks
Lambcasing,1.59,677,9622 Anzinger Circle,Zava,4/28/2023,86,Beverages
Brandy Cherry - Mcguinness,5.47,31,84513 Nelson Hill,Twiyo,8/19/2023,87,Snacks
Parsley Italian - Fresh,8.13,982,89 Lukken Circle,Plambee,11/20/2023,88,Snacks
"Pasta - Orzo, Dry",7.3,310,60 Warbler Junction,Rhynyx,10/27/2023,89,Snacks
Pants Custom Dry Clean,8.98,486,637 Fuller Junction,Twitterbridge,4/13/2023,90,Beverages
Bacardi Limon,7.86,413,468 Gale Pass,Gigabox,8/16/2022,91,Beverages
Fudge - Chocolate Fudge,3.37,646,3 Dunning Pass,Twitterworks,3/30/2022,92,Beverages
"Jam - Marmalade, Orange",6.9,507,967 Hoard Road,JumpXS,8/14/2023,93,Beverages
Cheese - Fontina,7.5,984,713 Dovetail Junction,Zooxo,3/11/2022,94,Candy
Foil - 4oz Custard Cup,9.39,974,21951 Nevada Parkway,Quatz,7/7/2022,95,Candy
Wine - Carmenere Casillero Del,5.49,608,1 Brentwood Road,Bubblemix,8/13/2023,96,Beverages
Grapes - Green,9.46,256,0253 Vidon Avenue,Shufflester,12/20/2023,97,Snacks
"Wine - Red, Antinori Santa",2.86,648,8375 Sycamore Park,Quinu,6/11/2023,98,Beverages
Oranges,7.97,30,3545 Vahlen Crossing,Myworks,6/9/2023,99,Snacks
Trueblue - Blueberry,5.14,426,944 Cordelia Point,Gigaclub,1/8/2022,100,Snacks
"Wine - Red, Metus Rose",9.45,801,1 Kropf Street,Bluezoom,12/11/2023,101,Snacks
"Wine - White, Antinore Orvieto",5.44,417,83 Talmadge Alley,Yabox,1/3/2022,102,Beverages
Sauce - Mint,3.63,611,47 Laurel Pass,Kwinu,3/31/2023,103,Candy
Squash - Butternut,5.32,2,44399 Schurz Circle,Tanoodle,6/20/2023,104,Beverages
Cheese - Shred Cheddar / Mozza,4.44,445,3 Warner Center,Chatterpoint,10/18/2023,105,Candy
Pie Shell - 5,7.37,207,549 Upham Street,Blogtag,6/2/2023,106,Beverages
"Rum - Coconut, Malibu",6.61,648,06 Barby Trail,Meejo,3/25/2023,107,Beverages
"Bread - Roll, Canadian Dinner",7.04,225,625 Park Meadow Way,Jayo,4/9/2023,108,Snacks
Glass Clear 8 Oz,2.62,666,432 Dixon Street,Skimia,12/30/2023,109,Snacks
Cardamon Ground,2.18,505,15381 Onsgard Trail,Nlounge,5/12/2023,110,Snacks
Wine - Niagara Peninsula Vqa,1.41,181,311 Mosinee Road,BlogXS,3/16/2023,111,Beverages
Pork Loin Cutlets,4.27,244,80 Parkside Hill,Cogidoo,12/11/2023,112,Snacks
Lettuce - Boston Bib,8.36,98,2 Towne Center,Innotype,9/3/2023,113,Beverages
Creme De Banane - Marie,4.94,202,34948 Warrior Park,Eire,1/5/2022,114,Snacks
Squid U5 - Thailand,7.55,469,339 Mallory Park,Skippad,4/25/2022,115,Snacks
"Beef - Rib Roast, Cap On",1.4,121,7274 Dakota Alley,Skippad,12/14/2023,116,Beverages
Mace,8.81,801,4257 Main Court,Fivespan,10/20/2023,117,Candy
Wonton Wrappers,7.44,856,7 Lakewood Gardens Court,Vipe,4/12/2022,118,Candy
"Oil - Truffle, Black",7.03,49,47824 6th Park,Gabtype,1/3/2023,119,Snacks
Chicken - Whole Roasting,5.91,484,0 Bayside Crossing,Oodoo,5/14/2022,120,Snacks
Longos - Lasagna Veg,4.32,467,9806 Division Street,Babblestorm,9/18/2022,121,Candy
White Baguette,1.71,936,574 Esch Alley,Flipbug,9/15/2022,122,Beverages
Taro Root,3.9,825,7 Caliangt Lane,Voolia,5/16/2022,123,Snacks
Soap - Mr.clean Floor Soap,1.35,362,1419 Dapin Place,Flipopia,8/10/2022,124,Snacks
Mushroom - Crimini,4.39,975,06386 Birchwood Way,Browsetype,7/27/2022,125,Candy
Wine - Touraine Azay - Le - Rideau,9.55,756,6500 Rusk Place,Ntags,12/18/2022,126,Beverages
Wine - Shiraz South Eastern,4.79,322,4 Red Cloud Street,Abatz,3/13/2022,127,Candy
Eggplant - Baby,3.67,973,6359 Sommers Drive,Browsecat,3/13/2023,128,Snacks
Cake - Cake Sheet Macaroon,7.2,938,004 Summerview Junction,Livetube,11/27/2023,129,Candy
"Chicken - Leg, Fresh",9.8,879,1 Utah Lane,Pixoboo,9/26/2022,130,Beverages
Muffin Chocolate Individual Wrap,9.65,43,40801 Sunfield Parkway,BlogXS,7/16/2023,131,Candy
Bread - Frozen Basket Variety,6.4,261,15298 Bowman Circle,Shufflebeat,7/28/2022,132,Beverages
Oil - Coconut,1.81,377,579 Jay Trail,Digitube,7/28/2022,133,Candy
Squash - Pepper,7.78,294,17132 Lake View Avenue,Tekfly,10/9/2022,134,Snacks
Munchies Honey Sweet Trail Mix,9.45,478,74 Kensington Junction,Vitz,3/12/2022,135,Snacks
Wine - Balbach Riverside,9.92,60,90 Mitchell Terrace,Blognation,4/5/2023,136,Beverages
Fondant - Icing,5.75,32,75 Tennyson Drive,Quinu,9/2/2023,137,Candy
Arctic Char - Fillets,7.64,900,1676 Graceland Drive,Brainbox,9/5/2022,138,Snacks
"Soup - Canadian Pea, Dry Mix",1.62,573,16626 Novick Parkway,Voomm,4/6/2023,139,Snacks
Skewers - Bamboo,1.89,63,4659 Anniversary Crossing,Gabspot,3/4/2023,140,Beverages
Cranberries - Frozen,9.0,271,0506 Cherokee Lane,Skyvu,5/26/2022,141,Beverages
Cinnamon - Ground,5.39,505,0049 Hanson Place,Feedbug,1/17/2023,142,Snacks
"Lentils - Green, Dry",8.03,439,35 Melody Lane,Youspan,8/3/2022,143,Snacks
Oil - Hazelnut,5.81,624,00171 Sundown Terrace,Yodo,4/27/2022,144,Snacks
Lettuce - Boston Bib,2.0,906,77 Boyd Circle,Lazzy,6/3/2023,145,Beverages
"Lemonade - Strawberry, 591 Ml",3.42,994,5 Clarendon Point,Npath,11/24/2023,146,Candy
Coffee Cup 16oz Foam,1.42,467,11 Orin Alley,Shufflebeat,8/26/2022,147,Candy
Puree - Mocha,3.33,649,2724 Browning Point,Rhyloo,10/12/2022,148,Beverages
Wood Chips - Regular,4.51,700,305 Bunting Way,Youopia,6/17/2023,149,Snacks
Chicken - Whole Fryers,9.06,790,079 Shopko Place,Meembee,2/11/2023,150,Candy
Cookies Almond Hazelnut,5.28,304,827 Truax Parkway,Fliptune,4/26/2023,151,Candy
"Mushroom - Enoki, Dry",5.63,341,186 Atwood Point,Cogibox,7/10/2023,152,Candy
Kaffir Lime Leaves,1.54,127,89 Bartelt Alley,Dabshots,12/18/2023,153,Candy
Couscous,7.14,505,450 Merrick Terrace,Tazz,4/22/2022,154,Snacks
"Bread - Pumpernickle, Rounds",4.01,276,4593 Memorial Center,Skyvu,3/28/2023,155,Snacks
Nantucket - Pomegranate Pear,8.95,837,98 Mifflin Place,Yodo,2/12/2022,156,Candy
Rabbit - Whole,9.06,880,0050 Pepper Wood Place,Trudeo,1/3/2022,157,Beverages
"Jam - Blackberry, 20 Ml Jar",9.8,765,63 Pond Lane,Rhynoodle,3/13/2022,158,Beverages
Contreau,7.86,210,8176 Granby Point,Quamba,10/10/2022,159,Beverages
Chips Potato Salt Vinegar 43g,6.32,790,2 Comanche Place,Browsecat,12/30/2023,160,Snacks
Wine - Gato Negro Cabernet,9.93,887,0 Stoughton Avenue,Skipstorm,4/5/2023,161,Beverages
Cheese - St. Andre,7.5,896,5034 American Ash Drive,Aimbu,12/12/2023,162,Candy
Sprouts - Peppercress,5.04,31,899 Maywood Way,Gabtune,10/26/2023,163,Snacks
"Croissant, Raw - Mini",2.04,512,7283 Oriole Parkway,Fivespan,2/2/2022,164,Snacks
"Soup - French Onion, Dry",1.86,98,8 Onsgard Plaza,Midel,7/27/2022,165,Snacks
"Chilli Paste, Sambal Oelek",9.05,768,9 North Lane,Babbleblab,5/13/2022,166,Candy
Cheese - St. Andre,4.51,627,84 Cottonwood Trail,Cogilith,3/21/2022,167,Snacks
Mushroom - Lg - Cello,4.2,417,26297 Thompson Lane,Feedfish,4/21/2022,168,Candy
Lettuce - Romaine,3.14,646,941 Rieder Avenue,Devshare,7/8/2023,169,Snacks
Pails With Lids,8.11,449,27714 Di Loreto Way,Ntags,5/13/2022,170,Snacks
Ecolab - Lime - A - Way 4/4 L,2.28,817,0 Magdeline Point,Blogtags,2/13/2022,171,Candy
Magnotta Bel Paese Red,6.27,850,31 Longview Parkway,Kare,7/22/2023,172,Snacks
"Wine - Red, Wolf Blass, Yellow",2.16,371,9065 Homewood Junction,Eayo,9/22/2022,173,Snacks
Extract - Almond,2.24,665,64188 Shoshone Lane,Youopia,5/9/2023,174,Candy
Mussels - Cultivated,4.69,352,52 Pleasure Way,Oloo,1/11/2023,175,Candy
Pizza Pizza Dough,2.13,636,0 Sauthoff Court,Tagpad,11/25/2023,176,Snacks
Spinach - Spinach Leaf,3.72,754,41 Helena Drive,Vitz,10/6/2023,177,Candy
Squid - Tubes / Tenticles 10/20,6.55,397,56064 Eastwood Trail,Yakitri,9/19/2023,178,Beverages
"Pasta - Penne, Lisce, Dry",4.57,887,2250 Buena Vista Junction,Avavee,10/8/2022,179,Beverages
"Beef - Ground, Extra Lean, Fresh",9.65,219,83880 Parkside Plaza,Devcast,10/29/2023,180,Snacks
Beef - Sushi Flat Iron Steak,4.42,770,01614 Dovetail Park,Nlounge,5/8/2023,181,Snacks
Wine - Merlot Vina Carmen,2.34,396,362 Havey Terrace,Oyoba,7/5/2023,182,Beverages
Tea - Apple Green Tea,2.2,524,28359 Iowa Terrace,Wikivu,7/2/2022,183,Candy
Versatainer Nc - 8288,4.95,32,55430 Lakewood Street,Twimm,12/14/2023,184,Snacks
Jolt Cola - Red Eye,5.84,538,591 Columbus Crossing,Quatz,1/10/2023,185,Beverages
Carbonated Water - Lemon Lime,1.11,37,35905 South Park,Gabvine,7/31/2023,186,Snacks
Corn Shoots,7.65,227,9 Haas Center,Npath,3/16/2023,187,Candy
Sprouts - Peppercress,2.36,611,30 Mcguire Court,Thoughtworks,4/1/2023,188,Beverages
Nutmeg - Ground,8.52,789,16 Clemons Hill,Fadeo,6/26/2022,189,Snacks
Wine - Sicilia Igt Nero Avola,6.93,626,45 6th Drive,Minyx,7/16/2023,190,Snacks
Ecolab Digiclean Mild Fm,1.35,804,82471 Aberg Circle,Vipe,7/19/2022,191,Snacks
Wine - Tio Pepe Sherry Fino,8.77,426,178 Graceland Drive,Thoughtbeat,1/17/2022,192,Beverages
Cake - Bande Of Fruit,2.32,391,60701 Coolidge Plaza,Mybuzz,6/20/2023,193,Candy
Muffin - Blueberry Individual,6.88,44,40539 Hagan Court,Realpoint,2/5/2023,194,Candy
Browning Caramel Glace,5.47,361,217 Susan Lane,Riffpedia,4/5/2022,195,Candy
"Pasta - Fettuccine, Egg, Fresh",8.38,432,22 Southridge Circle,Skimia,8/27/2022,196,Beverages
"Pasta - Lasagna, Dry",4.18,478,35509 Merry Alley,Devpulse,11/14/2022,197,Snacks
Foil - Round Foil,1.03,533,816 Waxwing Park,Tagpad,11/23/2022,198,Candy
Jolt Cola - Red Eye,8.71,450,33394 1st Way,Twinder,4/28/2022,199,Beverages
Sloe Gin - Mcguinness,1.83,696,653 Miller Way,Zoovu,7/17/2022,200,Candy
Turnip - Wax,6.57,357,22295 Alpine Center,Brainverse,10/30/2023,201,Beverages
"Sauce - Black Current, Dry Mix",6.61,288,835 Russell Drive,Buzzshare,2/11/2022,202,Beverages
Rabbit - Saddles,8.16,401,6652 La Follette Terrace,Zoovu,2/15/2023,203,Candy
Muffin Batt - Choc Chk,4.54,279,594 Kipling Hill,Linktype,11/5/2022,204,Candy
"Pasta - Penne Primavera, Single",5.59,433,09 Forster Circle,Gigaclub,8/23/2023,205,Candy
Gelatine Powder,6.42,481,5 Bobwhite Trail,Quatz,4/21/2022,206,Candy
"Pepper - Chipotle, Canned",8.88,810,63 Lotheville Road,Skajo,10/1/2022,207,Beverages
Trueblue - Blueberry,1.84,660,9 Graceland Circle,Tagfeed,11/30/2022,208,Beverages
"Turnip - White, Organic",7.73,65,606 Village Point,Oyope,3/7/2022,209,Snacks
"Crab - Back Fin Meat, Canned",1.19,87,97813 Johnson Drive,Zoombox,3/21/2023,210,Snacks
Chicken Thigh - Bone Out,4.0,844,4801 Kenwood Parkway,Browsezoom,6/13/2023,211,Beverages
"Octopus - Baby, Cleaned",8.82,252,66 4th Terrace,Flashspan,10/3/2022,212,Beverages
Broom Handle,3.52,656,516 Cherokee Street,Shuffledrive,5/5/2022,213,Candy
"Mop Head - Cotton, 24 Oz",7.77,693,3 Monica Pass,Skimia,3/28/2023,214,Candy
Compound - Pear,1.55,115,70 Debs Crossing,Flashdog,9/1/2022,215,Candy
Beef - Tender Tips,1.75,174,129 Annamark Alley,Zoovu,9/20/2022,216,Beverages
Cactus Pads,6.38,413,3140 David Point,Jayo,1/12/2022,217,Snacks
"Roe - Lump Fish, Black",7.9,566,9 Monica Parkway,Innojam,10/29/2022,218,Beverages
Creme De Menthe Green,4.73,936,4584 Vera Parkway,Shuffledrive,11/16/2023,219,Beverages
Buffalo - Tenderloin,7.19,813,1078 Oak Trail,Geba,9/21/2022,220,Candy
Appetizer - Chicken Satay,8.65,392,811 Vernon Junction,Feednation,12/13/2023,221,Candy
Trout - Smoked,8.02,234,3 Bartillon Terrace,Rhynoodle,6/21/2022,222,Beverages
Vol Au Vents,4.86,202,07826 Rowland Street,Yamia,6/15/2022,223,Snacks
Capers - Ox Eye Daisy,9.02,62,723 Lotheville Lane,Quire,10/14/2023,224,Beverages
"Chocolate - Milk, Callets",9.93,201,5195 Cascade Terrace,Browseblab,9/3/2023,225,Snacks
Wine - Stoneliegh Sauvignon,9.07,329,8770 Colorado Terrace,Fliptune,6/20/2023,226,Snacks
"Peas - Pigeon, Dry",5.03,921,49095 Nelson Crossing,Topdrive,6/7/2023,227,Beverages
Steampan - Half Size Shallow,6.2,968,645 Moose Parkway,Demivee,5/30/2022,228,Beverages
"Tart Shells - Barquettes, Savory",1.61,81,65716 Orin Center,Skibox,11/24/2023,229,Snacks
Flower - Commercial Bronze,1.92,971,07723 Carpenter Plaza,Wikido,4/29/2022,230,Candy
Straws - Cocktale,7.86,139,3616 Delladonna Plaza,Dablist,8/31/2023,231,Candy
Oil - Shortening - All - Purpose,8.08,516,881 Harbort Terrace,Izio,7/5/2022,232,Beverages
"Stock - Chicken, White",4.99,706,8940 Jenna Terrace,Rhycero,2/15/2022,233,Beverages
Bread - Malt,5.07,616,9491 1st Drive,Shufflester,2/12/2022,234,Candy
Sauce Tomato Pouch,6.3,815,09362 Riverside Street,Zazio,4/29/2022,235,Candy
Danishes - Mini Cheese,6.88,338,49085 Express Drive,Tagchat,9/9/2023,236,Candy
Silicone Paper 16.5x24,9.3,247,0939 Muir Avenue,Feedbug,1/15/2023,237,Snacks
Chocolate - Semi Sweet,7.16,265,292 Morningstar Center,Pixonyx,11/9/2023,238,Candy
Ketchup - Tomato,5.1,83,8687 Bunker Hill Trail,Roodel,6/14/2023,239,Snacks
"Pepper - Julienne, Frozen",7.37,735,8 Upham Crossing,Meembee,6/29/2023,240,Snacks
Wine - Duboeuf Beaujolais,6.06,109,9 Grover Junction,Lajo,7/2/2023,241,Snacks
Chinese Foods - Plain Fried Rice,8.62,791,25638 Eliot Street,Camimbo,3/25/2023,242,Beverages
Salami - Genova,4.79,684,66876 Kim Alley,Omba,8/9/2022,243,Candy
Table Cloth 53x53 White,8.58,7,758 Hallows Center,Photojam,1/6/2022,244,Candy
Butcher Twine 4r,2.94,343,2368 Jay Point,Jaxbean,9/20/2023,245,Candy
Cod - Fillets,3.95,316,20146 Jenna Circle,Janyx,12/20/2023,246,Beverages
Calypso - Lemonade,1.58,882,39 Caliangt Alley,Eadel,11/12/2022,247,Snacks
Initation Crab Meat,2.18,109,9497 Spohn Drive,Yakidoo,11/13/2023,248,Candy
Lettuce - California Mix,6.94,344,99460 Gale Center,Gabspot,2/9/2022,249,Snacks
Salmon - Fillets,1.48,798,9 Nancy Park,Miboo,12/8/2023,250,Snacks
Kellogs All Bran Bars,9.4,368,6 Banding Hill,Gevee,7/29/2023,251,Candy
"Pail - 15l White, With Handle",4.87,928,2 Kenwood Parkway,Kare,4/6/2022,252,Candy
Vol Au Vents,6.78,919,5920 Golf View Plaza,Dazzlesphere,2/10/2022,253,Beverages
Fork - Plastic,1.92,449,59891 Mcbride Junction,Zooveo,8/26/2022,254,Snacks
Chivas Regal - 12 Year Old,6.25,585,68 Fallview Avenue,Vidoo,12/13/2023,255,Beverages
Capers - Ox Eye Daisy,2.2,263,2 Anniversary Point,Shufflester,9/9/2023,256,Beverages
Nantucket - Pomegranate Pear,2.41,952,6799 Jenna Circle,Browsebug,2/23/2022,257,Beverages
Initation Crab Meat,9.04,971,17 Golf Alley,Edgeclub,10/2/2022,258,Candy
Graham Cracker Mix,8.74,925,220 Superior Drive,Livetube,5/19/2022,259,Candy
Sobe - Lizard Fuel,7.37,794,1674 Huxley Alley,Thoughtstorm,9/27/2023,260,Beverages
Gatorade - Lemon Lime,6.31,455,74252 3rd Lane,Yodel,1/7/2022,261,Beverages
Tea - Apple Green Tea,7.97,768,39782 Portage Terrace,Meejo,11/8/2023,262,Snacks
"Mushroom - Shitake, Fresh",3.19,592,2298 Northwestern Circle,Devcast,7/18/2023,263,Snacks
Chocolate - Dark,5.33,516,09 Independence Trail,Linklinks,10/14/2022,264,Beverages
Galliano,3.23,82,562 Arkansas Place,Demivee,5/26/2023,265,Snacks
Apricots - Dried,2.96,11,71510 Del Mar Plaza,Buzzbean,8/6/2022,266,Snacks
Pastry - Choclate Baked,4.14,42,914 Bunker Hill Pass,Jabberstorm,4/4/2022,267,Beverages
Cheese - Bakers Cream Cheese,6.16,904,2 Loomis Plaza,Browsezoom,7/12/2022,268,Snacks
Chicken - White Meat With Tender,6.51,191,09010 Troy Lane,Meevee,4/18/2023,269,Candy
"Veal - Inside, Choice",2.93,768,02 Judy Place,Twitterbeat,12/7/2022,270,Candy
"Salmon - Atlantic, Fresh, Whole",5.94,612,979 Surrey Junction,Livetube,8/21/2022,271,Beverages
Plasticspoonblack,8.07,753,7 Gale Park,Lazz,8/7/2023,272,Candy
"Beef - Cooked, Corned",5.2,974,4 Bluejay Hill,Skyble,3/4/2023,273,Snacks
Calypso - Pineapple Passion,6.74,655,711 Holmberg Street,Browsebug,4/16/2023,274,Candy
Rabbit - Whole,9.34,454,445 Crowley Drive,Dabfeed,11/27/2022,275,Candy
Sole - Fillet,8.92,422,9 Sage Street,Linklinks,4/27/2023,276,Beverages
Hinge W Undercut,4.31,628,4904 Starling Street,Yombu,3/23/2022,277,Snacks
Wine - Chateau Bonnet,6.13,19,480 Rockefeller Hill,Twitterlist,9/29/2022,278,Candy
Wine - Pinot Noir Pond Haddock,9.09,884,0 Manley Point,Quatz,10/26/2023,279,Beverages
Wine - Prosecco Valdobienne,7.45,206,8 Sherman Pass,Camido,5/21/2022,280,Candy
"Pasta - Lasagna Noodle, Frozen",1.15,734,4 Dexter Pass,Eidel,12/10/2022,281,Beverages
Container Clear 8 Oz,9.35,50,9 Grasskamp Place,Thoughtblab,12/29/2023,282,Snacks
Tea - Vanilla Chai,6.74,899,5 Thompson Pass,Brainlounge,10/2/2022,283,Snacks
Ginger - Crystalized,2.29,981,559 Morrow Trail,Skimia,1/9/2022,284,Snacks
Bagel - Whole White Sesame,6.84,661,1082 Hollow Ridge Hill,Yakidoo,9/25/2023,285,Beverages
